name,site
pandas,https://pandas.pydata.org/
scikit-learn,https://scikit-learn.org/stable/
geopandas,https://geopandas.org/
seaborn,https://seaborn.pydata.org/
proplot,https://proplot.readthedocs.io/en/latest/index.html
scipy,https://www.scipy.org/scipylib/index.html
hdbscan,https://hdbscan.readthedocs.io/en/latest/
matplotlib,https://matplotlib.org/
numpy,https://numpy.org/
statsmodels,https://www.statsmodels.org/stable/index.html
urbansim,https://urbansim.com/
dask,https://dask.org/
plotly,https://plot.ly/
bokeh,https://bokeh.org/
jupyter,https://jupyter.org/
pymc3,https://docs.pymc.io/
quantecon,https://quantecon.org/
tidyverse,https://www.tidyverse.org/
simplefeatures,https://r-spatial.github.io/sf/index.html
osmnx,https://osmnx.readthedocs.io/en/stable/
